date,pfni,equipment,structure,intellectual,info,industrial,transportation,other,info_equip,industrial_equip,transportation_equip,other_equip,net,gdp,pfni_gdp,net_gdp,real_pfni,real_net,real_gdp,net_pfni,logratio_pfni,logratio_net,net_pfni_ratio
1967,98.4,53.7,30.7,14,10.1,16.9,13.9,12.8,18.80819367,31.47113594,25.88454376,23.83612663,39.8,860,11.44186047,4.627906977,309.1,98.9,4567.8,40.44715447,-2.693122118,-3.832677729,-1.139555611
1968,106.7,58.6,32.6,15.5,10.6,17.3,17.3,13.4,18.0887372,29.5221843,29.5221843,22.8668942,42.3,940.7,11.3426172,4.49665143,324,100.7,4792.3,39.64386129,-2.694022226,-3.862619942,-1.168597716
1969,119.1,65.2,36.8,17.1,12.8,19.1,18.4,14.9,19.63190184,29.29447853,28.2208589,22.85276074,47.6,1017.6,11.70400943,4.677672956,346.5,109,4942.1,39.96641478,-2.657662802,-3.814197739,-1.156534936
1970,123,66.1,39,17.9,14.3,20.3,15.3,16.2,21.63388805,30.71104387,23.14674735,24.50832073,44.7,1073.3,11.45998323,4.164725613,343.4,93.2,4951.3,36.34146341,-2.668509499,-3.972657726,-1.304148227
1971,128.5,68.5,41.3,18.6,14.9,19.5,17.4,16.7,21.75182482,28.46715328,25.40145985,24.37956204,43.2,1164.9,11.03098978,3.70847283,343.2,81.9,5114.3,33.61867704,-2.701482449,-4.134296826,-1.432814377
1972,144.9,78.4,46,20.5,16.7,21.4,21,19.4,21.30102041,27.29591837,26.78571429,24.74489796,52,1279.1,11.3282777,4.065358455,373.1,98.9,5383.3,35.8868185,-2.669210368,-3.996947609,-1.327737242
1973,171.2,95.2,53.5,22.6,19.9,26,25.6,23.7,20.90336134,27.31092437,26.8907563,24.89495798,67.5,1425.4,12.01066367,4.735512839,422.5,129.3,5687.2,39.42757009,-2.599783868,-3.783838029,-1.184054161
1974,189.7,105.5,58.8,25.4,23.1,30.7,25.2,26.5,21.8957346,29.09952607,23.88625592,25.11848341,68.3,1545.2,12.27672793,4.420139788,426,116.1,5656.5,36.00421719,-2.586121259,-3.886108717,-1.299987458
1975,195.5,107.9,59.8,27.7,23.8,31.3,24.2,28.6,22.05746061,29.00834106,22.42817424,26.5060241,52.3,1684.9,11.6030625,3.104041783,387.6,65.6,5644.8,26.75191816,-2.678516166,-4.45491435,-1.776398184
1976,217.3,122.1,63.1,32.1,27.5,34.1,29.2,31.3,22.52252252,27.92792793,23.91482391,25.63472563,60.7,1873.4,11.59923134,3.240098217,409.5,76.2,5949,27.93373217,-2.676041514,-4.357616954,-1.681575441
1977,256.3,149.2,71.4,35.7,33.7,39.4,38.2,37.8,22.58713137,26.4075067,25.60321716,25.33512064,81.5,2081.8,12.31146124,3.914881353,453.6,105,6224.1,31.79867343,-2.61896838,-4.082223782,-1.463255402
